citationCounts,ID,title,year,abstract,author
11,mithen_individuals_1993,"Individuals, {Groups} and the {Palaeolithic} {Record}: {A} {Reply} to {Clark}",1993-01-01,"I am very grateful to Geoff Clark for his comment on my ecological interpretation of Palaeolithic art ( PPS 58, 107–109, see Mithen 1990, 1991). I had no idea that it was a ‘post hoc accommodative
argument’ with an ‘underaxiomatised’ theoretical framework and ‘unwieldy systematics’. I suppose this means he doesn't like it. Clark says that my interpretation reminds him of a Chinese meal —
initially satisfying but not ‘sticking with you’ for very long. In 1992 Clark wrote that ‘Mithen's … work goes a long way to explaining the art of this period’ (Lindly \& Clark 1990, 61) — he seems to
have taken two years to digest the Chinese meal of my interpretation.  Clark's main objection is that I tried to develop a theoretical framework around individual decision making and then attempted to
use this to interpret the variability and patterning in Palaeolithic art and other elements of the archaeological record. He objects to this on paradigmatic grounds, seeing no rationale for models of
individual agency, but primarily on operational grounds, arguing that individuals cannot be monitored in the archaeological record.","Mithen, Steven"
650,drews_concept_1993,The {Concept} and {Definition} of {Dominance} in {Animal} {Behaviour},1993-01-01,"Abstract The concept of dominance has contributed greatly to our understanding of social structure in animals. Over the past three decades, however, a variety of concepts and definitions of dominance
have been introduced, leading to an ongoing debate about the usefulness and meaning of the concept. Criticisms aimed at one definition of dominance do not necessarilly apply to other definitions.
Existing definitions can be structural or functional, refer to roles or to agonistic behaviour, regard dominance as a property of individuals or as an attribute of dyadic encounters, concentrate on
aggression or on the lack of it, and be based either on theoretical constructs or on observable behaviour. Thirteen definitions of dominance are reviewed, and their usefulness assessed with respect to
their descriptive value. The predictive and explanatory values of definitions are specific to the questions asked in each particular study and are not considered as criteria to judge the usefulness of
the dominance concept. By virtue of its high descriptive value, the original definition of dominance by SCHJELDERUPP-EBBE (1922, Z.Psychol. 88: 226-252) emerged as the basis to formulate a structural
definition with wide applicability and which reflects the essence of the concept: Dominance is an attribute of the pattern of repeated, agonistic interactions between two individuals, characterized by
a consistent outcome in favour of the same dyad member and a default yielding response of its opponent rather than escalation. The status of the consistent winner is dominant and that of the loser
subordinate. Dominance status refers to dyads while dominance rank, high or low, refers to the position in a hierarchy and, thus, depends on group composition. Dominance is a relative measure and not
an absolute property of individuals. The discussion includes reference to the heritability of dominance, application of dominance to groups rather than individuals, and the role of individual
recognition and memory during agonistic encounters.","Drews, Carlos"
9,percival_is_1993,Is {Jung}'s theory of archetypes compatible with neo-{Darwinism} and sociobiology?,1993-01-01,"Semantic Scholar extracted view of ""Is Jung's theory of archetypes compatible with neo-Darwinism and sociobiology?"" by R. Percival","Percival, R.S."
0,grigor_use_1993,Use of space by laying hens: social and environmental implications for free-range systems,1993-01-01,"The use of space by laying hens in free-range systems is often very uneven, with birds displaying an apparent reluctance to leave (and move away from) the house. Using mainly small groups as models
for the larger flocks normally housed in commercial free-range systems, the role of various social and environmental factors concerning hens' movement and use of space were investigated in this
thesis. Hens displayed a greater readiness to emerge from a familiar covered box into an unfamiliar outdoor area when the outdoor area contained familiar feeders, even though the birds had free access
to food in their home pens. Emergence latencies decreased with repeated testing. Birds also spent more time in the outdoor area when feeders were present, though they tended not to move past the
feeder which was nearest the box. Birds which had been exposed to an enriching stimulus (traffic cones) in their home pens tended to leave the box earlier than those which had not, though this was not
dependent on the actual presence of cones in the outdoor area. This suggests that a more complex home environment can influence birds' responses to novel environments. Furthermore, the order of
emergence into the paddock was not significantly influenced by social rank. Birds which had been regularly exposed to the outside environment during the rearing process displayed little or no fear of
the outdoor area as adults. In contrast, regular handling had little effect on birds' readiness to enter the outdoor area. Regular exposure to the outside environment also reduced birds' underlying
fearfulness (measured by tonic immobility), both in small experimental groups and in a larger free-range flock. Individual birds from small groups or from single cages took longer to move past
unfamiliar birds than they did to move past familiar birds (even those of higher rank), and took longer to move past an increasing number of unfamiliar birds. However, birds in a free-range house
displayed a wide range of movements, and very little aggression, suggesting that any inhibition of movement within the house was not due to ""pecking pressure"" from other birds. Birds displayed greater
readiness to enter into and disperse in the outdoor area when other birds were already present in the area. This was not dependent on the familiarity of birds in the outdoor area. A larger number of
birds in the outdoor area increased the attractiveness of the outdoor area to other birds. The introduction of cover into an outside area had a limited effect on increasing the attractiveness of the
outdoor area to domestic fowl, though this was not reflected in the birds' vigilance behaviour. It was concluded that birds find the outside environment aversive due to its fear-evoking properties
(such as the fear of predation), and to the large discrepancy between the inside and outside environments. Possible implications of the present findings for free-range systems are discussed. CHAPTER
2: General Introduction In this thesis, the effects of various social and environmental factors on the use of space by laying hens are examined, with possible implications for free-range systems. The
following section (1.1.) presents a brief outline of the topic of animal dispersion. This is followed by a review of previous studies which have examined the influence of social and environmental
factors on the use of space by domestic animals, including laying hens (1.2. and 1.3.). The use of space by laying hens in various husbandry systems (including free range) is also discussed (1.4.).
Section 1.5. summarises some of the advantages and disadvantages of various poultry husbandry systems, many of which have implications for the welfare of hens. The free-range system is described in
section 1.6., which is followed by an outline of the thesis (1.7.). 1.1, Animal dispersion The subject of animal dispersion, or the way in which animals distribute themselves in relation to the
available area, has been widely investigated. In his book, Animal Dispersion in Relation to Social Behaviour, Wynne-Edwards (1962) provided a possible definition of animal dispersion as ""comprising
the placement of individuals and groups of individuals within the habitats they occupy, and the processes by which this is brought about"". Animals may be expected to occupy habitats which provide
resources such as food, nesting sites, mates, shelter, protection from predators, etc. In animal communities, dispersion may serve to control population density, thereby providing a safeguard against
over-population and avoiding over­ exploitation of the food-supply (Wynne-Edwards, 1965). Wynne-Edwards (1962) proposed that dispersion may be brought about by group selection (which is concerned with
the viability and survival of a group of individuals). However, as selection acts primarily at the level of the individual, or, more precisely, at the level of the gene (Davies and Krebs, 1978), it
was later proposed that dispersion is brought about by natural selection, which is concerned with the survival and reproductive success of the individual (Lack, 1966; Pulliam, 1987). Within a habitat,
animals may be more evenly dispersed than they would be at random (""over-dispersed""), or less dispersed than at random (""congregated"") (Crook, 1965). Furthermore, there may be temporal variations in
dispersion, ranging from seasonal variations (such as colonial breeding among some bird species) to diurnal variations (such as birds returning to","Grigor, P. N."
0,allison_cultural_1992,The {Cultural} {Evolution} of {Beneficent} {Norms},1992-01-01,"Sociobiologists claim that genes which code for altruistic acts toward close genetic kin can overcome selection pressures favoring self-interested behaviors. This article argues that similar processes
may operate in the cultural sphere. Specifically, rules that mandate beneficent acts toward people uith a higher than average probability of carrying the same rule may proliferate without sanctions,
even when those acts are costly to the actor. One class of rules directs beneficent behavior toward close cultural relatives, including cultural ancestors, descendants, siblings, and cousins. Another
class directs beneficent behavior toward those who exhibit particular cultural markers. For several reasons, such rules may lead to larger sets of mutual altruists than those produced by genetic","Allison, Paul D."
0,leonovicova_sociobiological_1992,The sociobiological perspectives in the study of human evolution,1992-01-01,"The idea of a new multilevel approach to an understanding of regularities of evolution and its consequences for the study of human evolution is analysed. Three levels of evolutionary process are
defined: (1) genetic level-the basic one. Memory of this level is coded, fixed, collected and translated by means of chemical structures (mainly of nucleic acids). The super-organismic system is the
population. Classic natural selection functioned on this level. (2) The epigenetic level had originated with the origin of multicellular organisms and is relatively self-dependent. Regularities of
this level allow the organisms to vary their phenotypes within the limits of reaction norms corresponding to the actual environment. The superorganismic system is the “family group”. Sexual selection
functioned on this level and influenced the genetic one indirectly. (3) The behavioural level had originated on the high stage of evolution with the origin of species that are able to adapt themselves
by behaviour. Their own means of coding, fixation, collection and translation of information have originated from symbolic signals (sounds, smells, postures, gestures, etc.) used for communication
(signal or social heredity). The super-organismic system is society. Group selection functioned on this level. Sociobiology as a science is defined as “the systematic study of the biological basis of
all forms of social behaviour, including sexual and parental behaviour; in all kinds of organisms including man” (Wilson, 1978, p. 10), and has become the necessary tool for the study of human
evolution beginning from its origin.","Leonovicova, V."
8,blumenthal_could_1992,Could cancer be a physiological phenomenon rather than a pathological misfortune?,1992-01-01,"Semantic Scholar extracted view of ""Could cancer be a physiological phenomenon rather than a pathological misfortune?"" by E. Blumenthal","Blumenthal, E.Z."
26,klomp_dispersal_1992,"The dispersal and philopatry of great skuas from foula, {Shetland}",1992-01-01,"Ring recovery data were used to describe the dispersal of Great Skuas from Foula, Shetland, from 1963 to 1990. In general, the dispersal patterns and causes of recoveries had not changed since they
were first described by Furness (1978) up to 1977. However, recoveries of 1–4year‐olds had increased since 1977 and recoveries of first‐year birds were greater after 1986 than for all previous years
combined. Ring recovery data and observations of individually colour‐ringed birds provided several lines of evidence suggesting that levels of immigration and emigration in the Great Skua population
on Foula were very low. Great Skuas also displayed a high degree of micro‐philopatry, generally choosing clubs and breeding sites within areas on the island from which they originated.","Klomp, N.I. and Furness, R.W."
124,dietz_human_1992,Human {Agency} and the {Evolutionary} {Dynamics} of {Culture},1992-01-01,"Agency has long been an important topic in sociological theory. Recently, sociologists have devoted attention to new models of cultural evolution drawn from a variety of disciplines. This paper
examines the role of agency in evolutionary theory. We begin by distinguishing evolutionary theory from developmental theories that are usually identified with evolution in discussions of social
theory. We then offer an approach to agency and to power grounded in social rule systems theory. These discussions provide a context to definition of agency as effective, intentional, unconstrained
and reflexive action by individual or collective actors. Using contemporary evolutionary theory, we consider the circumstances under which individual and collective action can meet these requirements
and thus be considered agentic.","Dietz, Thomas and Burns, Tom R."
31,carlson_evolutionary_1992,Evolutionary trends in the articulate brachiopod hinge mechanism,1992-01-01,"Evolutionary patterns in the articulate brachiopod hinge are investigated and this empirical example is used as a model to examine evolutionary trends and evolutionary constraints. Several features of
the hinge-system geometry exhibit persistent directional change from the Cambrian to the Recent and result in increased mechanical advantage in opening the valves. These geometric changes are
reflected also in general features of shell morphology and growth and in patterns of familial diversity through time. Specific, identifiable constraints on brachiopod morphology and function related
to the position of the pedicle and muscles and nature of the hinge line and hinge structures may be said to direct the observed trends. The pattern of evolutionary change among all articulate
brachiopods is most satisfactorily accommodated by a diffusion model of morphological change. Examined independently, the deltidiodonts (with noninterlocking hinge structures) appear to reflect a
process of directional selection through time, whereas change in the cyrtomatodont hinge mechanism (with interlocking teeth and sockets) may reflect the incidental effects of selection for increasing
mantle-cavity volume rather than increasing diductor (opening) muscle moment. The “transition” from deltidiodont to cyrtomatodont hinge structures over the course of brachiopod evolutionary history
may be interpreted from at least two distinctly different perspectives. Paleoecologically, this transition appears to reflect a habitat shift from soft sediment to hard, rocky substrates.
Phylogenetically, the transition reflects the process of evolution: deltidiodonts persist as their modified descendants, the cyrtomatodonts. Investigating the acquisition of evolutionary novelties
over time, or the transition from primitive to derived morphological features, may be the most informative approach to follow in studying evolutionary trends.","Carlson, Sandra J."
50,heinen_human_1992,Human {Behavioural} {Ecology} and {Environmental} {Conservation},1992-01-01,"We contend that humans, as living organisms, evolved to sequester resources to maximize reproductive success, and that many basic aspects of human behaviour reflect this evolutionary history. Much of
the environment with which we currently deal is evolutionarily novel, and much behaviour which is ultimately not in our own interests, persists in this novel environment. Environmentalists frequently
stress the need for ‘sustainable development’, however it is defined ( see Redclift, 1987), and we contend that a knowledge of how humans are likely to behave with regard to resource use, and
therefore a knowledge of what kinds of programmes are likely to work in any particular situation, is necessary to achieve sustainability. Specifically, we predict that issues which are short-term,
local, and/or acute, such as an immediate health-risk, will be much easier to solve than issues which are broad, and which affect individuals other than ourselves, our relatives, and our friends. The
bigger the issue is, the less effective is likely to be the response. Hence, the biggest and most troublesome ecological issues will be the most difficult to solve — inter alia because of our
evolutionary history as outlined above.   This may not appear to bode well for the future of the world; for example, Molte (1988) contends that there are several hundred international environmental
agreements in place, but Carroll (1988) contends that, in general, none of them is particularly effective if the criterion for effectiveness is a real solution to the problem. There are countless
examples of ‘aggressors’ (those nations causing the problem) not complying with an agreement, slowing its ratification, or reducing its effectiveness ( e.g. the US versus Canada, or Great Britain
versus Sweden, with regard to acid rain legislation: Fig. 1, cf. Bjorkbom, 1988). The main problem in these cases is that the costs are externalized and hence discounted by those receiving the
benefits of being able to pollute. Any proposed change is bound to conflict with existing social structures, and negotiations necessarily involve compromise in a quid pro quo fashion (Brewer, 1980).
We contend, along with Caldwell (1988) and Putnam (1988), that nations are much too large to think of as individual actors in these spheres. Interest groups within nations can affect ratification of
international environmental treaties; for example, automobile industry interests versus those of environmental NGOs in the USA on the acid rain issue. It may even be that our evolutionary history is
inimical to the entire concept of the modern nation state.  Barring major, global, socio-political upheaval, we suggest that a knowledge of the evolution of resource use by humans can be used to solve
at least some resource-related problems in modern industrial societies. In some cases, these can probably be solved with information alone, and in other cases, the problems can probably be solved by
playing on our evolutionary history as social reciprocators; environmental problems which tend to be relatively local and short-term may be solvable in these ways. Economic incentives can provide
solutions to many other types of problems by manipulating the cost and benefits to individuals. We suggest that broader, large-scale environmental problems are much more difficult to solve than
narrower, small-scale ones, precisely because humans have evolved to discount such themes; stringent regulations and the formation of coalitions, combined with economic incentives to use alternatives
and economic disincentives (fines) not to do so, may be the only potential solutions to some major, transboundary environmental issues.  In preparing this argument, we have reviewed literature from
many scholarly fields well outside the narrow scope of our expertise in behavioural ecology and wildlife conservation. Our reading of many works from anthropology, economics, political science, public
policy, and international development, will doubtless seem naïve and simplistic to practitioners of those fields, and solving all environmental problems will ultimately take expertise from all of
these fields and more. In general, however, we have found agreement for many of our ideas from these disparate disciplines, but much of their literature does not allow for a rigorous, quantitative
hypothesis-testing approach to analysing the main thesis presented here — an approach that we, as scientists, would encourage. We hope to challenge people interested in environmental issues from many
perspectives, to consider our arguments and find evidence, pro or con , so that we (collectively) may come closer to a better analysis of, and ultimately to solutions for, our most pressing
environmental problems.","Heinen, Joel T. and Low, Roberta (‘Bobbi’) S."
80,low_toward_1992,Toward an {Ecological} {Demography},1992-01-01,"An innovative way of looking at demographic patterns is based on paradigms from the fields of behavioral and evolutionary ecology. Just as the analytic techniques of demography have been important to
biological investigations the theoretical advances of the last 25 years in biology may offer important perspectives on central problems in demography and provide paths to fruitful ecologically
informed solutions. The authors summarize the pertinent theory in behavioral ecology highlight two important differences in the way biologists and demographers partition problems and illustrate how
behavioral ecology might contribute to a new understanding of several important issues in classical demography namely natural versus controlled fertility population regulation and allocation of
resources to offspring. (SUMMARY IN FRE AND SPA) (EXCERPT)","Low, Bobbi S. and Clarke, Alice L. and Lockridge, Kenneth A."
89,de_catanzaro_psychogenic_1992,Psychogenic pregnancy disruptions in mammals,1992-01-01,"Semantic Scholar extracted view of ""Psychogenic pregnancy disruptions in mammals"" by D. Catanzaro et al.","de Catanzaro, Denys and Macniven, Elaine"
10,karlin_r_1992,R. {A}. {Fisher} and {Evolutionary} {Theory},1992-01-01,"R. A. Fisher, apart from his fundamental contributions to statistical science, fostered many developments of theoretical evolutionary science. In commemoration of Fisher's birth centenary (1991), this
paper highlights several of Fisher's interests in evolutionary processes. These include the ""Fundamental Theorem of Natural Selection,"" studies on the phenomenon of an even sex ratio in natural
populations, the ""runaway process"" of sexual selection and models of polygenic inheritance. Some historical discussions and perspectives on evolutionary science and the Fisher legacy are also
presented.","Karlin, Samuel"
14,godfrey-smith_additivity_1992,Additivity and the {Units} of {Selection},1992-01-01,"Variation is the fuel of evolution, but as is well known, not all variation will drive Darwin’s engine along. Within population genetics, “additivity” is one concept used to characterize the salient
type of variation. The characterization of variation (variance) in terms of additivity originates with R.A. Fisher (1918), and Fisher’s “fundamental theorem of natural selection” (1930) states that
the rate of evolutionary change is proportional to the additive variance in fitness in the population at that time. Evolution proceeds until the additive variance is exhausted. It would not be
surprising if a concept so important in the mathematical structure of evolutionary theory had philosophical significance. In two important works, William Wimsatt (1981) and Elisabeth Lloyd (1988) have
claimed that additivity can be used to give a criterion for deciding the “unit of selection” in an evolutionary process.","Godfrey-Smith, Peter"
26,doty_castoreum_1992,"Castoreum of {Beaver} ({Castor} {Canadensis}): {Function}, {Chemistry} and {Biological} {Activity} of {Its} {Components}",1992-01-01,"Castoreum, the paste found in the paired castor sacs of both sexes in beaver, Castor canadensis and C. fiber, has been used for medicines and perfumes since time immemorial. The Romans burned
castoreum in lamps and believed that the fumes caused abortions (McCully, 1969). Trappers have attracted beaver to castoreum lures for a long time. As for the natural history of castoreum, Audubon
first published a trapper’s report of mud piles topped with strong-smelling castoreum that beaver built at the banks of their ponds. Two neighbor colonies alternated in marking, accumulating mud piles
up to five feet high (Audubon and Bachman, 1849). To this date, we don’t know the precise role scent mounds play in the behavior, physiology and population ecology of the beaver. Aleksiuk (1968)
proposed that scent marks may warn transient beaver away from occupied territories and that scent mounding may be an epideictic display sensu Wynne Edwards (1962) that communicates population density.","Müller-Schwarze, Dietland"
2,fandel_birth_1992,Birth {Control} as a {Social} {Dilemma},1992-01-01,"Ever since Darwin evolutionary biologists have speculated how fecundity restraining traits may have evolved. Obviously iteroparous organisms (reproducing more than once in life), by adapting the time
of producing offspring, inevitably reproduce below the physiological maximum. But it seems difficult to argue that, for example, human couples in developed societies, which barely reproduce on the
replacement level, are reproducing at the maximums which the circumstances in the risky and unpredictable environment of modern times allowed. In industrialized societies a woman can easily have 8–10
children without any negative effect on her remaining age specific fecundity or her longevity (Voland and Engel 1989, with further references). But not only in modern, also in very primitive societies
human couples reproduce well below the physiological maximum.","Mueller, Ulrich"
0,spencer_space_1992,Space in the lives of vertebrates: {On} the ecology and psychology of space use.,1992-01-01,"Semantic Scholar extracted view of ""Space in the lives of vertebrates: On the ecology and psychology of space use."" by W. Spencer","Spencer, W."
62,stenseth_social_1992,Social factors in immigration and emigration,1992-01-01,"Social behaviour comprises behaviour directed at other individuals often for the purpose of affecting their actions, such as altering spacing, enhancing cohesiveness of group members, and establishing
the order of access to resources. Because dispersal (emigration and immigration) of small mammals occurs in a social milieu, social behaviour has often been proposed as a cause of emigration or a
limit to immigration. Likewise, social behaviour may in turn be affected by dispersal regimes; for example, emigration may decrease the incidence of aggressive behaviour as individuals become
relatively more scarce. Social behaviour could also serve as an intervening variable correlated with but not directly a cause of particular dispersal patterns. Furthermore, social behaviour and
dispersal may be connected by feedback loops such that a particular dispersal pattern may cause changes in social behaviour, which in turn may modify dispersal patterns. Types of social behaviour
likely to be relevant to dispersal include aggressive behaviour (e.g. fighting, chasing, threatening postures), affiliative behaviour (e.g. naso-nasal contact, grooming), mating behaviour, and so-
called altruistic behaviours (e.g. alarm calling, predator attraction through feigning injury, aiding in territory defence).","Brandt, C. A."
96,power_population_1992,Population {Regulation} of {Seabird} {Colonies},1992-01-01,"In 1913, J. H. Gurney published The Gannet, a Bird with a History, which enumerated all known gannetries and their populations. It is no accident that a seabird was chosen for this first attempt to
estimate the world population of an avian species, because seabirds are often large and conspicuous and breed in imposing colonies that invite census. The colonial habit of seabirds also encourages
studies of breeding and demography, as large amounts of data can be gathered without need to search for widely dispersed nests. David Lack, doubtlessly inspired by early seabird exposure in Iceland
and Bear Island, used marine birds prominently in developing the hypothesis that breeding systems evolve to maximize reproductive output (Lack, 1954, 1966, 1967). Seabirds were also presented as
champions of the opposing view, now in disfavor, that animals may limit reproduction for the benefit of the species (Wynne-Edwards, 1962).","Cairns, David K."
0,blumenthal_could_1992-1,Could {Cancer} be a {Physiological} {Than} a {Pathological} {Misfortune},1992-01-01,"The hypothesis presented here is that cancer is not a phenomenon where the normal functions of the human body break down (like diabetes mellitus or renal failure) but rather a well planned and well
coordinated physiological response (similar to the inflammatory response). ‘Cancer initiating genes’ are presumed neoplastic DNA sequences involved in sensing genome deterioration, consequently
enhancing preservation. This genetic trait, different from the concept of oncogenes, actively triggers the neoplastic transformation once genome deterioration is sensed. This self destructive,
altruistic phenomenon, obviously devastating to the organism, is nevertheless shown to be a possible mechanism of natural selection. The survival advantage of cancer initiation is discussed using both
the concepts of group selection and gene selection. Natural selection, the driving force of evolution, is believed to operate solely on the basis of phenotype differences among individuals. In this
paper cancer is hypothesized to be a mechanism that directly scrutinizes the gene contents of the individual, therefore representing natural selection based on genotype differences.","Blumenthal, E."
2,jain_population_1992,The population dynamics and control of the parasitic nematode {Trichostrogylus} tennis in red grouse in the {North} of {England},1992-01-01,"In this chapter we present evidence which suggests that the parasitic nematode Trichostrongylus tenuis is responsible for producing the patterns of cyclic abundance commonly observed in red grouse
Lagopus lagopus scoticus. We first review the life history of the parasite, then outline some mathematical models that may be used to explore the population dynamics of this system. This model
produces cycles similar to the observed cycles for reasonable parameter values. Different ways of controlling the parasites are discussed and other work on grouse populations are discussed in terms of
our own work.","Dobson, A. P. and Hudson, P. J."
3,mccullough_seabirds_1992,Seabirds: {Management} {Problems} and {Research} {Opportunities},1992-01-01,"The 280 species of seabirds occupy all the world’s oceans from polar leads to tropical blue-water, so their management and research needs vary greatly. On the other hand, they share certain
characteristics that tend to make them vulnerable to human activity. They are long-lived and reproduce slowly; they tend to breed in large numbers on predator-free islands; and they feed in relatively
small areas of high biological productivity. Universal management problems include egging, hunting, oiling, contamination with persistent pollutants, and competition with commercial fisheries. Future
problems are likely to include range shifts because of global warming, loss of nesting sites because of sea level rise, increased human disturbance, and competition with humans for marine resources.
Rapid advances in technology, such as doubly-labelled water, instrumentation for measurement of foraging and growth, satellite tracking, and non-lethal sampling for diet allow increasingly detailed
basic information on the biology of seabirds. At sea, while methods of counting birds have improved to allow estimates of density, the greatest advances have been made in linking bird distribution to
oceanographie features such as primary productivity, fronts, and distribution of prey. In contrast to the advances in research, relatively few management techniques have been developed primarily for
seabirds; most focus on maintaining or restoring island or marine ecosystems used by seabirds, by removing introduced predators or regulating fisheries. The two most promising advances in seabird
management and research in the next decade or so are likely to involve large-scale cooperative projects to identify and protect critical breeding islands and foraging sites at sea, and the use of
scientifically-sound models designed for management of populations of seabirds.","Duffy, David C. and Nettleship, David N."
183,moritz_bees_1992,Bees as {Superorganisms},1992-01-01,"Semantic Scholar extracted view of ""Bees as Superorganisms"" by P. A. Moritz et al.","Moritz, Robin F. A. and Southwick, Edward E."
